Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
2016-02-09 17:00;17;714.090;893.622;1607.712;2044;777;309;1347
2016-02-09 18:00;18;193.390;233.331;426.721;1432;686;79;1241
2016-02-09 19:00;19;56.187;64.597;120.784;1048;574;18;1048
2016-02-09 20:00;20;54.538;333.618;388.156;13909;1898;10;13909
2016-02-09 21:00;21;25.487;17.992;43.479;168;0;0;0
2016-02-09 22:00;22;29.208;37.795;67.003;3355;1107;4;3355
2016-02-09 23:00;23;33.912;33.560;67.472;1033;609;5;1033
2016-02-10 00:00;0;34.702;33.951;68.653;733;563;5;733
2016-02-10 01:00;1;25.006;18.480;43.486;197;0;0;0
2016-02-10 02:00;2;55.052;45.685;100.737;3987;1125;11;3987
2016-02-10 03:00;3;39.905;38.963;78.868;2052;695;7;2052
2016-02-10 04:00;4;51.543;78.856;130.399;1410;862;15;1410
2016-02-10 05:00;5;33.493;28.034;61.527;2050;730;6;2050
2016-02-10 06:00;6;419.739;1443.610;1863.349;8690;1311;203;2802
2016-02-10 07:00;7;38.233;37.017;75.250;298;298;2;298
2016-02-10 08:00;8;481.997;2289.190;2771.187;14325;1302;330;2638
2016-02-10 09:00;9;42.450;42.746;85.196;1246;922;6;1246
2016-02-10 10:00;10;27.547;22.430;49.977;253;253;1;253
2016-02-10 11:00;11;25.513;19.737;45.250;222;0;0;0
2016-02-10 12:00;12;213.991;308.823;522.814;1200;635;105;1086
2016-02-10 13:00;13;90.635;110.582;201.217;1227;725;30;1173
2016-02-10 14:00;14;104.212;120.351;224.563;1798;720;37;1406
2016-02-10 15:00;15;36.041;35.027;71.068;1202;543;7;1202
2016-02-10 16:00;16;29.001;20.105;49.106;414;329;4;414
2016-02-10 17:00;17;25.231;17.328;42.559;228;0;0;0
2016-02-10 18:00;18;97.117;128.741;225.858;2228;606;40;1031
2016-02-10 19:00;19;27.175;18.725;45.900;382;321;2;382
2016-02-10 20:00;20;28.109;25.602;53.711;981;723;4;981
2016-02-10 21:00;21;177.768;620.863;798.631;4966;1025;106;1893
2016-02-10 22:00;22;28.149;18.475;46.624;227;0;0;0
2016-02-10 23:00;23;30.838;25.503;56.341;1152;679;5;1152
2016-02-11 00:00;0;34.708;47.494;82.202;3619;1034;7;3619
2016-02-11 01:00;1;75.290;69.987;145.277;4755;772;21;1073
2016-02-11 02:00;2;430.319;330.924;761.243;963;651;192;845
2016-02-11 03:00;3;234.279;267.553;501.832;2460;791;91;1635
2016-02-11 04:00;4;444.998;2633.652;3078.650;6894;1179;401;2055
2016-02-11 05:00;5;159.811;1196.071;1355.882;2816;987;204;1731
2016-02-11 06:00;6;160.426;231.959;392.385;3075;665;74;1116
2016-02-11 07:00;7;220.315;566.679;786.994;13525;1713;79;6484
2016-02-11 08:00;8;387.680;1267.508;1655.188;7576;1311;205;2829
2016-02-11 09:00;9;55.710;68.853;124.563;1234;647;19;1234
2016-02-11 10:00;10;112.652;96.926;209.578;7158;886;32;2743
2016-02-11 11:00;11;24.287;18.378;42.665;368;303;5;368
2016-02-11 12:00;12;132.699;193.517;326.216;1196;631;59;1089
2016-02-11 13:00;13;39.866;42.357;82.223;776;432;13;776
2016-02-11 14:00;14;107.432;153.127;260.559;2228;819;44;1907
2016-02-11 15:00;15;78.705;96.466;175.171;1441;618;27;1181
2016-02-11 16:00;16;320.266;380.087;700.353;1419;688;145;1144
2016-02-11 17:00;17;618.056;743.081;1361.137;2088;744;264;1225
2016-02-11 18:00;18;528.166;674.035;1202.201;3187;707;242;1125
2016-02-11 19:00;19;738.385;1193.268;1931.653;3164;902;325;2098
2016-02-11 20:00;20;275.991;918.828;1194.819;20009;1227;141;2155
2016-02-11 21:00;21;376.493;2364.538;2741.031;3822;849;455;1717
2016-02-11 22:00;22;313.791;905.049;1218.840;2119;742;232;1288
2016-02-11 23:00;23;272.056;284.233;556.289;1245;562;135;1062
2016-02-12 00:00;0;216.942;314.638;531.580;1636;690;91;1320
2016-02-12 01:00;1;141.898;482.200;624.098;13397;1032;58;1471
2016-02-12 02:00;2;201.960;290.548;492.508;2101;645;91;1167
2016-02-12 03:00;3;29.841;26.012;55.853;532;422;4;532
2016-02-12 04:00;4;57.387;74.771;132.158;1419;611;19;1419
2016-02-12 05:00;5;62.156;86.151;148.307;3499;788;23;1100
2016-02-12 06:00;6;86.593;108.494;195.087;1123;598;34;1004
2016-02-12 07:00;7;57.141;71.113;128.254;1420;706;17;1420
2016-02-12 08:00;8;51.507;317.227;368.734;34954;6951;11;34954
2016-02-12 09:00;9;30.345;26.070;56.415;683;419;3;683
